P.SYMBOL,P.DATE,P.PRICE,EST.S.DATE,EST.S.PRICE,T.DATE,T.PRICE,STATUS,PROFITPCT,PROFITPCT252D,DATEPCT,PRICEPCT
ASX-ANZ,2020-01-21,25.51,2020-10-09,26.58,2020-02-12,26.19,OPEN,2.67,31.0,8.0,64.0
ASX-A2M,2020-01-22,15.59,2020-07-05,23.89,2020-02-12,15.0,OPEN,-3.78,-45.0,13.0,-7.0
ASX-VVR,2020-01-22,2.75,2020-03-10,2.89,2020-02-12,2.78,OPEN,1.09,13.0,44.0,21.0
ASX-VVR,2020-01-22,2.75,2020-07-06,3.05,2020-02-12,2.78,OPEN,1.09,13.0,13.0,10.0
ASX-VVR,2020-01-22,2.75,2020-10-04,2.91,2020-02-12,2.78,OPEN,1.09,13.0,8.0,19.0
ASX-A2M,2020-01-22,15.59,2020-04-15,19.81,2020-02-12,15.0,OPEN,-3.78,-45.0,25.0,-14.0
ASX-VVR,2020-01-22,2.75,2020-02-13,2.83,2020-02-12,2.78,OPEN,1.09,13.0,95.0,37.0
ASX-A2M,2020-01-22,15.59,2020-02-25,17.25,2020-02-12,15.0,OPEN,-3.78,-45.0,62.0,-36.0
ASX-A2M,2020-01-22,15.59,2020-10-24,34.02,2020-02-12,15.0,OPEN,-3.78,-45.0,8.0,-3.0
ASX-BOQ,2020-01-22,7.4,2020-12-09,8.02,2020-02-12,7.58,OPEN,2.43,29.0,7.0,29.0
0175.HK,2020-01-22,14.1,2020-11-15,18.96,2020-02-11,14.48,OPEN,2.7,34.0,7.0,8.0
DLR,2020-01-22,126.28,2020-07-24,139.05,2020-02-11,125.52,OPEN,-0.6,-8.0,11.0,-6.0
RIO,2020-01-22,60.5,2020-10-06,68.82,2020-02-11,53.85,OPEN,-10.99,-138.0,8.0,-80.0
ASX-A2M,2020-01-23,15.31,2020-03-10,18.0,2020-02-12,15.0,OPEN,-2.02,-25.0,43.0,-12.0
ASX-A2M,2020-01-23,15.31,2020-08-10,19.97,2020-02-12,15.0,OPEN,-2.02,-25.0,10.0,-7.0
ASX-A2M,2020-01-23,15.31,2020-06-09,18.2,2020-02-12,15.0,OPEN,-2.02,-25.0,14.0,-11.0
ASX-A2M,2020-01-23,15.31,2020-10-07,15.72,2020-02-12,15.0,OPEN,-2.02,-25.0,8.0,-76.0
ASX-A2M,2020-01-23,15.31,2020-02-13,16.63,2020-02-12,15.0,OPEN,-2.02,-25.0,95.0,-23.0
ASX-A2M,2020-01-23,15.31,2020-02-03,15.78,2020-02-03,14.16,CLOSED,-7.51,-172.0,100.0,-245.0
ASX-A2M,2020-01-23,15.31,2020-02-13,16.63,2020-02-12,15.0,OPEN,-2.02,-25.0,95.0,-23.0
ASX-A2M,2020-01-23,15.31,2020-03-04,18.48,2020-02-12,15.0,OPEN,-2.02,-25.0,49.0,-10.0
NFLX,2020-01-23,349.6,2020-08-04,491.61,2020-02-11,373.69,OPEN,6.89,91.0,10.0,17.0
ITA,2020-01-23,231.24,2020-05-25,239.52,2020-02-11,239.52,CLOSED,3.58,47.0,15.0,100.0
NFLX,2020-01-23,349.6,2020-07-14,453.54,2020-02-11,373.69,OPEN,6.89,91.0,11.0,23.0
ITA,2020-01-23,231.24,2021-01-08,253.55,2020-02-11,238.86,OPEN,3.3,44.0,5.0,34.0
ITA,2020-01-23,231.24,2020-04-25,234.01,2020-02-05,234.01,CLOSED,1.2,23.0,14.0,100.0
ASX-CQR,2020-01-24,4.67,2020-11-19,4.97,2020-02-10,4.97,CLOSED,6.42,95.0,6.0,100.0
ASX-CQR,2020-01-24,4.67,2020-07-04,4.99,2020-02-12,4.9,OPEN,4.93,65.0,12.0,72.0
ASX-NAN,2020-01-28,6.83,2020-12-18,9.64,2020-02-12,7.58,OPEN,10.98,184.0,5.0,27.0
WMT,2020-01-28,116.6,2021-01-15,129.36,2020-02-11,115.4,OPEN,-1.03,-19.0,4.0,-9.0
DIS,2020-01-28,138.37,2020-08-19,148.61,2020-02-11,141.01,OPEN,1.91,34.0,7.0,26.0
DIS,2020-01-28,138.37,2020-07-16,147.68,2020-02-11,141.01,OPEN,1.91,34.0,8.0,28.0
ASX-CWN,2020-01-29,11.55,2020-04-01,12.18,2020-02-12,11.76,OPEN,1.82,33.0,22.0,33.0
ASX-CWN,2020-01-29,11.55,2020-07-21,12.53,2020-02-12,11.76,OPEN,1.82,33.0,8.0,21.0
ASX-AGL,2020-01-29,20.14,2020-07-03,21.37,2020-02-12,19.18,OPEN,-4.77,-86.0,9.0,-78.0
ASX-CWN,2020-01-29,11.55,2020-04-11,12.08,2020-02-12,11.76,OPEN,1.82,33.0,19.0,40.0
ASX-CWN,2020-01-29,11.55,2020-07-24,12.34,2020-02-12,11.76,OPEN,1.82,33.0,8.0,27.0
0268.HK,2020-01-29,8.71,2020-06-09,9.48,2020-02-04,9.48,CLOSED,8.84,371.0,5.0,100.0
0268.HK,2020-01-29,8.71,2020-09-12,11.65,2020-02-11,10.4,OPEN,19.4,376.0,6.0,57.0
ITA,2020-01-29,232.11,2021-01-10,265.51,2020-02-11,238.86,OPEN,2.91,56.0,4.0,20.0
ITA,2020-01-29,232.11,2020-05-30,245.18,2020-02-11,238.86,OPEN,2.91,56.0,11.0,52.0
ITA,2020-01-29,232.11,2020-05-21,241.3,2020-02-11,238.86,OPEN,2.91,56.0,12.0,73.0
ASX-CWN,2020-01-30,11.6,2020-04-12,12.14,2020-02-12,11.76,OPEN,1.38,27.0,18.0,30.0
ASX-IVC,2020-01-30,13.11,2020-12-01,14.77,2020-02-12,13.25,OPEN,1.07,21.0,4.0,8.0
ASX-IVC,2020-01-30,13.11,2020-12-01,14.77,2020-02-12,13.25,OPEN,1.07,21.0,4.0,8.0
ASX-CWN,2020-01-30,11.6,2020-07-25,12.39,2020-02-12,11.76,OPEN,1.38,27.0,7.0,20.0
2588.HK,2020-01-30,71.4,2020-03-18,77.04,2020-02-11,74.0,OPEN,3.64,76.0,25.0,46.0
2588.HK,2020-01-30,71.4,2020-04-03,78.62,2020-02-11,74.0,OPEN,3.64,76.0,19.0,36.0
2588.HK,2020-01-30,71.4,2020-06-16,85.34,2020-02-11,74.0,OPEN,3.64,76.0,9.0,19.0
2588.HK,2020-01-30,71.4,2020-07-10,83.65,2020-02-11,74.0,OPEN,3.64,76.0,7.0,21.0
2588.HK,2020-01-30,71.4,2020-05-17,73.67,2020-02-04,73.67,CLOSED,3.18,160.0,5.0,100.0
NFLX,2020-01-30,347.74,2020-06-26,495.11,2020-02-11,373.69,OPEN,7.46,157.0,8.0,18.0
MMM,2020-01-30,162.51,2020-10-17,184.03,2020-02-11,162.45,OPEN,-0.04,-1.0,5.0,-0.0
NFLX,2020-01-30,347.74,2020-05-05,442.08,2020-02-11,373.69,OPEN,7.46,157.0,12.0,28.0
MMM,2020-01-30,162.51,2020-11-27,185.75,2020-02-11,162.45,OPEN,-0.04,-1.0,4.0,-0.0
DIS,2020-01-30,137.81,2020-07-18,147.08,2020-02-05,147.08,CLOSED,6.73,283.0,4.0,100.0
MSFT,2020-01-30,172.78,2020-11-30,184.18,2020-02-05,184.18,CLOSED,6.6,277.0,2.0,100.0
ASX-CWN,2020-01-31,11.7,2020-04-13,12.24,2020-02-12,11.76,OPEN,0.51,11.0,16.0,11.0
ASX-CWN,2020-01-31,11.7,2020-07-26,12.5,2020-02-12,11.76,OPEN,0.51,11.0,7.0,8.0
0175.HK,2020-01-31,12.54,2020-10-23,18.85,2020-02-11,14.48,OPEN,15.47,354.0,4.0,31.0
2208.HK,2020-01-31,8.23,2020-12-26,10.94,2020-02-11,8.38,OPEN,1.82,42.0,3.0,6.0
0175.HK,2020-01-31,12.54,2020-11-24,16.86,2020-02-11,14.48,OPEN,15.47,354.0,4.0,45.0
AMZN,2020-01-31,2008.72,2020-08-08,2650.71,2020-02-11,2150.8,OPEN,7.07,162.0,6.0,22.0
AMZN,2020-01-31,2008.72,2020-09-23,2551.88,2020-02-11,2150.8,OPEN,7.07,162.0,5.0,26.0
ASX-VVR,2020-02-03,2.75,2020-04-27,2.92,2020-02-12,2.78,OPEN,1.09,31.0,11.0,18.0
ASX-VVR,2020-02-03,2.75,2020-09-13,3.23,2020-02-12,2.78,OPEN,1.09,31.0,4.0,6.0
ASX-VVR,2020-02-03,2.75,2020-08-22,2.9,2020-02-12,2.78,OPEN,1.09,31.0,4.0,20.0
ASX-VVR,2020-02-03,2.75,2020-03-11,2.81,2020-02-12,2.78,OPEN,1.09,31.0,24.0,50.0
1299.HK,2020-02-03,78.5,2020-09-12,94.12,2020-02-11,80.15,OPEN,2.1,66.0,4.0,11.0
0857.HK,2020-02-03,3.38,2020-10-30,5.39,2020-02-11,3.46,OPEN,2.37,75.0,3.0,4.0
0175.HK,2020-02-03,12.6,2020-10-26,18.94,2020-02-11,14.48,OPEN,14.92,470.0,3.0,30.0
1299.HK,2020-02-03,78.5,2020-06-11,86.48,2020-02-11,80.15,OPEN,2.1,66.0,6.0,21.0
0175.HK,2020-02-03,12.6,2020-11-27,16.94,2020-02-11,14.48,OPEN,14.92,470.0,3.0,43.0
1299.HK,2020-02-03,78.5,2020-04-01,82.75,2020-02-11,80.15,OPEN,2.1,66.0,14.0,39.0
0386.HK,2020-02-03,4.07,2020-04-16,4.23,2020-02-06,4.23,CLOSED,3.93,330.0,4.0,100.0
NKE,2020-02-03,99.27,2020-12-21,120.1,2020-02-11,100.02,OPEN,0.76,24.0,2.0,4.0
AMZN,2020-02-03,2004.2,2020-09-15,2548.34,2020-02-11,2150.8,OPEN,7.31,230.0,4.0,27.0
AMZN,2020-02-03,2004.2,2020-08-13,2651.76,2020-02-11,2150.8,OPEN,7.31,230.0,4.0,23.0
LULU,2020-02-03,246.37,2020-10-15,324.81,2020-02-11,251.58,OPEN,2.11,66.0,3.0,7.0
NKE,2020-02-03,99.27,2020-06-11,107.09,2020-02-11,100.02,OPEN,0.76,24.0,6.0,10.0
NKE,2020-02-03,99.27,2020-04-17,104.0,2020-02-11,100.02,OPEN,0.76,24.0,11.0,16.0
LULU,2020-02-03,246.37,2021-01-09,296.63,2020-02-11,251.58,OPEN,2.11,66.0,2.0,10.0
ASX-CWN,2020-02-04,11.56,2020-04-17,12.09,2020-02-12,11.76,OPEN,1.73,54.0,11.0,38.0
ASX-NAB,2020-02-04,25.6,2021-01-04,27.4,2020-02-12,26.16,OPEN,2.19,69.0,2.0,31.0
ASX-CWN,2020-02-04,11.56,2020-07-30,12.35,2020-02-12,11.76,OPEN,1.73,54.0,5.0,25.0
0288.HK,2020-02-04,7.45,2020-07-04,9.08,2020-02-11,8.05,OPEN,8.05,290.0,5.0,37.0
0288.HK,2020-02-04,7.45,2020-08-14,11.31,2020-02-11,8.05,OPEN,8.05,290.0,4.0,16.0
2208.HK,2020-02-04,8.31,2021-01-11,11.08,2020-02-11,8.38,OPEN,0.84,30.0,2.0,3.0
1038.HK,2020-02-04,54.05,2021-01-19,66.87,2020-02-12,54.8,OPEN,1.39,44.0,2.0,6.0
2388.HK,2020-02-04,26.0,2021-02-02,33.46,2020-02-11,27.35,OPEN,5.19,187.0,2.0,18.0
2800.HK,2020-02-04,26.85,2020-12-07,31.8,2020-02-11,27.75,OPEN,3.35,121.0,2.0,18.0
0175.HK,2020-02-04,12.76,2020-10-27,19.18,2020-02-11,14.48,OPEN,13.48,485.0,3.0,27.0
2208.HK,2020-02-04,8.31,2020-12-30,11.05,2020-02-11,8.38,OPEN,0.84,30.0,2.0,3.0
0175.HK,2020-02-04,12.76,2020-11-28,17.16,2020-02-11,14.48,OPEN,13.48,485.0,2.0,39.0
1038.HK,2020-02-04,54.05,2020-06-27,57.33,2020-02-12,54.8,OPEN,1.39,44.0,6.0,23.0
1816.HK,2020-02-04,1.91,2020-04-08,2.01,2020-02-11,2.01,CLOSED,5.24,189.0,11.0,100.0
1038.HK,2020-02-04,54.05,2020-04-02,55.81,2020-02-12,54.8,OPEN,1.39,44.0,14.0,43.0
2800.HK,2020-02-04,26.85,2020-07-13,28.79,2020-02-11,27.75,OPEN,3.35,121.0,4.0,46.0
0267.HK,2020-02-04,8.87,2020-03-24,9.57,2020-02-11,9.37,OPEN,5.64,203.0,14.0,71.0
0288.HK,2020-02-04,7.45,2020-06-28,8.05,2020-02-07,8.05,CLOSED,8.05,676.0,2.0,100.0
0267.HK,2020-02-04,8.87,2020-05-30,11.13,2020-02-11,9.37,OPEN,5.64,203.0,6.0,22.0
MA,2020-02-04,329.12,2020-11-19,428.09,2020-02-11,330.92,OPEN,0.55,20.0,2.0,2.0
