P.SYMBOL,P.DATE,P.PRICE,EST.S.DATE,EST.S.PRICE,T.DATE,T.PRICE,STATUS,PROFITPCT,PROFITPCT252D,DATEPCT,PRICEPCT
ASX-ANZ,2020-01-21,25.51,2020-10-09,26.58,2020-02-13,26.58,CLOSED,4.19,46.0,9.0,100.0
ASX-A2M,2020-01-22,15.59,2020-07-05,23.89,2020-02-25,14.93,OPEN,-4.23,-31.0,21.0,-8.0
ASX-VVR,2020-01-22,2.75,2020-03-10,2.89,2020-02-17,2.89,CLOSED,5.09,49.0,54.0,100.0
ASX-VVR,2020-01-22,2.75,2020-07-06,3.05,2020-02-25,2.76,OPEN,0.36,3.0,20.0,3.0
ASX-VVR,2020-01-22,2.75,2020-10-04,2.91,2020-02-17,2.91,CLOSED,5.82,56.0,10.0,100.0
ASX-A2M,2020-01-22,15.59,2020-04-15,19.81,2020-02-25,14.93,OPEN,-4.23,-31.0,40.0,-16.0
ASX-VVR,2020-01-22,2.75,2020-02-13,2.83,2020-02-13,2.78,CLOSED,1.09,12.0,100.0,37.0
ASX-A2M,2020-01-22,15.59,2020-02-25,17.25,2020-02-25,14.93,CLOSED,-4.23,-31.0,100.0,-40.0
ASX-A2M,2020-01-22,15.59,2020-10-24,34.02,2020-02-25,14.93,OPEN,-4.23,-31.0,12.0,-4.0
ASX-BOQ,2020-01-22,7.4,2020-12-09,8.02,2020-02-25,7.43,OPEN,0.41,3.0,11.0,5.0
0175.HK,2020-01-22,14.1,2020-11-15,18.96,2020-02-24,14.8,OPEN,4.96,38.0,11.0,14.0
DLR,2020-01-22,126.28,2020-07-24,139.05,2020-02-24,135.27,OPEN,7.12,54.0,18.0,70.0
RIO,2020-01-22,60.5,2020-10-06,68.82,2020-02-24,51.23,OPEN,-15.32,-117.0,13.0,-111.0
ASX-A2M,2020-01-23,15.31,2020-03-10,18.0,2020-02-25,14.93,OPEN,-2.48,-19.0,70.0,-14.0
