P.SYMBOL,P.DATE,P.PRICE,EST.S.DATE,EST.S.PRICE,T.DATE,T.PRICE,STATUS,PROFITPCT,PROFITPCT252D,DATEPCT,PRICEPCT
ASX-ANZ,2020-01-21,25.51,2020-10-09,26.58,2020-02-13,26.58,CLOSED,4.19,46.0,9.0,100.0
ASX-A2M,2020-01-22,15.59,2020-07-05,23.89,2020-02-26,15.0,OPEN,-3.78,-27.0,21.0,-7.0
ASX-VVR,2020-01-22,2.75,2020-03-10,2.89,2020-02-17,2.89,CLOSED,5.09,49.0,54.0,100.0
ASX-VVR,2020-01-22,2.75,2020-07-06,3.05,2020-02-26,2.75,OPEN,0.0,0.0,21.0,0.0
ASX-VVR,2020-01-22,2.75,2020-10-04,2.91,2020-02-17,2.91,CLOSED,5.82,56.0,10.0,100.0
ASX-A2M,2020-01-22,15.59,2020-04-15,19.81,2020-02-26,15.0,OPEN,-3.78,-27.0,42.0,-14.0
ASX-VVR,2020-01-22,2.75,2020-02-13,2.83,2020-02-13,2.78,CLOSED,1.09,12.0,100.0,37.0
ASX-A2M,2020-01-22,15.59,2020-02-25,17.25,2020-02-25,15.14,CLOSED,-2.89,-21.0,100.0,-27.0
ASX-A2M,2020-01-22,15.59,2020-10-24,34.02,2020-02-26,15.0,OPEN,-3.78,-27.0,13.0,-3.0
ASX-BOQ,2020-01-22,7.4,2020-12-09,8.02,2020-02-26,7.31,OPEN,-1.22,-9.0,11.0,-15.0
0175.HK,2020-01-22,14.1,2020-11-15,18.96,2020-02-26,14.86,OPEN,5.39,39.0,12.0,16.0
DLR,2020-01-22,126.28,2020-07-24,139.05,2020-02-25,133.54,OPEN,5.75,43.0,18.0,57.0
RIO,2020-01-22,60.5,2020-10-06,68.82,2020-02-25,50.43,OPEN,-16.64,-123.0,13.0,-121.0
ASX-A2M,2020-01-23,15.31,2020-03-10,18.0,2020-02-26,15.0,OPEN,-2.02,-15.0,72.0,-12.0
ASX-A2M,2020-01-23,15.31,2020-08-10,19.97,2020-02-26,15.0,OPEN,-2.02,-15.0,17.0,-7.0
ASX-A2M,2020-01-23,15.31,2020-06-09,18.2,2020-02-26,15.0,OPEN,-2.02,-15.0,25.0,-11.0
ASX-A2M,2020-01-23,15.31,2020-10-07,15.72,2020-02-17,15.72,CLOSED,2.68,27.0,10.0,100.0
ASX-A2M,2020-01-23,15.31,2020-02-13,16.63,2020-02-13,15.2,CLOSED,-0.72,-9.0,100.0,-8.0
ASX-A2M,2020-01-23,15.31,2020-02-03,15.78,2020-02-03,14.16,CLOSED,-7.51,-172.0,100.0,-245.0
ASX-A2M,2020-01-23,15.31,2020-02-13,16.63,2020-02-13,15.2,CLOSED,-0.72,-9.0,100.0,-8.0
ASX-A2M,2020-01-23,15.31,2020-03-04,18.48,2020-02-26,15.0,OPEN,-2.02,-15.0,83.0,-10.0
NFLX,2020-01-23,349.6,2020-08-04,491.61,2020-02-17,491.61,CLOSED,40.62,409.0,13.0,100.0
ITA,2020-01-23,231.24,2020-05-25,239.52,2020-02-11,239.52,CLOSED,3.58,47.0,15.0,100.0
NFLX,2020-01-23,349.6,2020-07-14,453.54,2020-02-17,453.54,CLOSED,29.73,300.0,14.0,100.0
ITA,2020-01-23,231.24,2021-01-08,253.55,2020-02-25,215.5,OPEN,-6.81,-52.0,9.0,-71.0
ITA,2020-01-23,231.24,2020-04-25,234.01,2020-02-05,234.01,CLOSED,1.2,23.0,14.0,100.0
ASX-CQR,2020-01-24,4.67,2020-11-19,4.97,2020-02-10,4.97,CLOSED,6.42,95.0,6.0,100.0
ASX-CQR,2020-01-24,4.67,2020-07-04,4.99,2020-02-17,4.99,CLOSED,6.85,72.0,15.0,100.0
ASX-NAN,2020-01-28,6.83,2020-12-18,9.64,2020-02-26,6.57,OPEN,-3.81,-33.0,9.0,-9.0
WMT,2020-01-28,116.6,2021-01-15,129.36,2020-02-25,114.39,OPEN,-1.9,-17.0,8.0,-17.0
DIS,2020-01-28,138.37,2020-08-19,148.61,2020-02-25,128.19,OPEN,-7.36,-66.0,14.0,-99.0
DIS,2020-01-28,138.37,2020-07-16,147.68,2020-02-25,128.19,OPEN,-7.36,-66.0,16.0,-109.0
ASX-CWN,2020-01-29,11.55,2020-04-01,12.18,2020-02-26,10.71,OPEN,-7.27,-65.0,44.0,-133.0
ASX-CWN,2020-01-29,11.55,2020-07-21,12.53,2020-02-26,10.71,OPEN,-7.27,-65.0,16.0,-86.0
ASX-AGL,2020-01-29,20.14,2020-07-03,21.37,2020-02-26,19.58,OPEN,-2.78,-25.0,18.0,-46.0
ASX-CWN,2020-01-29,11.55,2020-04-11,12.08,2020-02-26,10.71,OPEN,-7.27,-65.0,38.0,-158.0
ASX-CWN,2020-01-29,11.55,2020-07-24,12.34,2020-02-26,10.71,OPEN,-7.27,-65.0,16.0,-106.0
